id,name,height_dm,weight_hg,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,abilities,generation,is_legendary,is_mythical,color,shape,capture_rate
1,bulbasaur,7,69,64.0,grass,poison,45,49,49,65,65,45,"overgrow, chlorophyll",generation-i,False,False,green,quadruped,45
2,ivysaur,10,130,142.0,grass,poison,60,62,63,80,80,60,"overgrow, chlorophyll",generation-i,False,False,green,quadruped,45
3,venusaur,20,1000,236.0,grass,poison,80,82,83,100,100,80,"overgrow, chlorophyll",generation-i,False,False,green,quadruped,45
4,charmander,6,85,62.0,fire,,39,52,43,60,50,65,"blaze, solar-power",generation-i,False,False,red,upright,45
5,charmeleon,11,190,142.0,fire,,58,64,58,80,65,80,"blaze, solar-power",generation-i,False,False,red,upright,45
6,charizard,17,905,240.0,fire,flying,78,84,78,109,85,100,"blaze, solar-power",generation-i,False,False,red,upright,45
7,squirtle,5,90,63.0,water,,44,48,65,50,64,43,"torrent, rain-dish",generation-i,False,False,blue,upright,45
8,wartortle,10,225,142.0,water,,59,63,80,65,80,58,"torrent, rain-dish",generation-i,False,False,blue,upright,45
9,blastoise,16,855,239.0,water,,79,83,100,85,105,78,"torrent, rain-dish",generation-i,False,False,blue,upright,45
10,caterpie,3,29,39.0,bug,,45,30,35,20,20,45,"shield-dust, run-away",generation-i,False,False,green,armor,255
11,metapod,7,99,72.0,bug,,50,20,55,25,25,30,shed-skin,generation-i,False,False,green,squiggle,120
12,butterfree,11,320,178.0,bug,flying,60,45,50,90,80,70,"compound-eyes, tinted-lens",generation-i,False,False,white,bug-wings,45
13,weedle,3,32,39.0,bug,poison,40,35,30,20,20,50,"shield-dust, run-away",generation-i,False,False,brown,armor,255
14,kakuna,6,100,72.0,bug,poison,45,25,50,25,25,35,shed-skin,generation-i,False,False,yellow,squiggle,120
15,beedrill,10,295,178.0,bug,poison,65,90,40,45,80,75,"swarm, sniper",generation-i,False,False,yellow,bug-wings,45
16,pidgey,3,18,50.0,normal,flying,40,45,40,35,35,56,"keen-eye, tangled-feet, big-pecks",generation-i,False,False,brown,wings,255
17,pidgeotto,11,300,122.0,normal,flying,63,60,55,50,50,71,"keen-eye, tangled-feet, big-pecks",generation-i,False,False,brown,wings,120
18,pidgeot,15,395,216.0,normal,flying,83,80,75,70,70,101,"keen-eye, tangled-feet, big-pecks",generation-i,False,False,brown,wings,45
19,rattata,3,35,51.0,normal,,30,56,35,25,35,72,"run-away, guts, hustle",generation-i,False,False,purple,quadruped,255
20,raticate,7,185,145.0,normal,,55,81,60,50,70,97,"run-away, guts, hustle",generation-i,False,False,brown,quadruped,127
21,spearow,3,20,52.0,normal,flying,40,60,30,31,31,70,"keen-eye, sniper",generation-i,False,False,brown,wings,255
22,fearow,12,380,155.0,normal,flying,65,90,65,61,61,100,"keen-eye, sniper",generation-i,False,False,brown,wings,90
23,ekans,20,69,58.0,poison,,35,60,44,40,54,55,"intimidate, shed-skin, unnerve",generation-i,False,False,purple,squiggle,255
24,arbok,35,650,157.0,poison,,60,95,69,65,79,80,"intimidate, shed-skin, unnerve",generation-i,False,False,purple,squiggle,90
25,pikachu,4,60,112.0,electric,,35,55,40,50,50,90,"static, lightning-rod",generation-i,False,False,yellow,quadruped,190
26,raichu,8,300,218.0,electric,,60,90,55,90,80,110,"static, lightning-rod",generation-i,False,False,yellow,upright,75
27,sandshrew,6,120,60.0,ground,,50,75,85,20,30,40,"sand-veil, sand-rush",generation-i,False,False,yellow,upright,255
28,sandslash,10,295,158.0,ground,,75,100,110,45,55,65,"sand-veil, sand-rush",generation-i,False,False,yellow,upright,90
29,nidoran-f,4,70,55.0,poison,,55,47,52,40,40,41,"poison-point, rivalry, hustle",generation-i,False,False,blue,quadruped,235
30,nidorina,8,200,128.0,poison,,70,62,67,55,55,56,"poison-point, rivalry, hustle",generation-i,False,False,blue,quadruped,120
31,nidoqueen,13,600,227.0,poison,ground,90,92,87,75,85,76,"poison-point, rivalry, sheer-force",generation-i,False,False,blue,upright,45
32,nidoran-m,5,90,55.0,poison,,46,57,40,40,40,50,"poison-point, rivalry, hustle",generation-i,False,False,purple,quadruped,235
33,nidorino,9,195,128.0,poison,,61,72,57,55,55,65,"poison-point, rivalry, hustle",generation-i,False,False,purple,quadruped,120
34,nidoking,14,620,227.0,poison,ground,81,102,77,85,75,85,"poison-point, rivalry, sheer-force",generation-i,False,False,purple,upright,45
35,clefairy,6,75,113.0,fairy,,70,45,48,60,65,35,"cute-charm, magic-guard, friend-guard",generation-i,False,False,pink,upright,150
36,clefable,13,400,217.0,fairy,,95,70,73,95,90,60,"cute-charm, magic-guard, unaware",generation-i,False,False,pink,upright,25
37,vulpix,6,99,60.0,fire,,38,41,40,50,65,65,"flash-fire, drought",generation-i,False,False,brown,quadruped,190
38,ninetales,11,199,177.0,fire,,73,76,75,81,100,100,"flash-fire, drought",generation-i,False,False,yellow,quadruped,75
39,jigglypuff,5,55,95.0,normal,fairy,115,45,20,45,25,20,"cute-charm, competitive, friend-guard",generation-i,False,False,pink,humanoid,170
40,wigglytuff,10,120,196.0,normal,fairy,140,70,45,85,50,45,"cute-charm, competitive, frisk",generation-i,False,False,pink,humanoid,50
41,zubat,8,75,49.0,poison,flying,40,45,35,30,40,55,"inner-focus, infiltrator",generation-i,False,False,purple,wings,255
42,golbat,16,550,159.0,poison,flying,75,80,70,65,75,90,"inner-focus, infiltrator",generation-i,False,False,purple,wings,90
43,oddish,5,54,64.0,grass,poison,45,50,55,75,65,30,"chlorophyll, run-away",generation-i,False,False,blue,legs,255
44,gloom,8,86,138.0,grass,poison,60,65,70,85,75,40,"chlorophyll, stench",generation-i,False,False,blue,humanoid,120
45,vileplume,12,186,221.0,grass,poison,75,80,85,110,90,50,"chlorophyll, effect-spore",generation-i,False,False,red,humanoid,45
46,paras,3,54,57.0,bug,grass,35,70,55,45,55,25,"effect-spore, dry-skin, damp",generation-i,False,False,red,armor,190
47,parasect,10,295,142.0,bug,grass,60,95,80,60,80,30,"effect-spore, dry-skin, damp",generation-i,False,False,red,armor,75
48,venonat,10,300,61.0,bug,poison,60,55,50,40,55,45,"compound-eyes, tinted-lens, run-away",generation-i,False,False,purple,humanoid,190
49,venomoth,15,125,158.0,bug,poison,70,65,60,90,75,90,"shield-dust, tinted-lens, wonder-skin",generation-i,False,False,purple,bug-wings,75
50,diglett,2,8,53.0,ground,,10,55,25,35,45,95,"sand-veil, arena-trap, sand-force",generation-i,False,False,brown,blob,255
51,dugtrio,7,333,149.0,ground,,35,100,50,50,70,120,"sand-veil, arena-trap, sand-force",generation-i,False,False,brown,heads,50
52,meowth,4,42,58.0,normal,,40,45,35,40,40,90,"pickup, technician, unnerve",generation-i,False,False,yellow,quadruped,255
53,persian,10,320,154.0,normal,,65,70,60,65,65,115,"limber, technician, unnerve",generation-i,False,False,yellow,quadruped,90
54,psyduck,8,196,64.0,water,,50,52,48,65,50,55,"damp, cloud-nine, swift-swim",generation-i,False,False,yellow,upright,190
55,golduck,17,766,175.0,water,,80,82,78,95,80,85,"damp, cloud-nine, swift-swim",generation-i,False,False,blue,upright,75
56,mankey,5,280,61.0,fighting,,40,80,35,35,45,70,"vital-spirit, anger-point, defiant",generation-i,False,False,brown,upright,190
57,primeape,10,320,159.0,fighting,,65,105,60,60,70,95,"vital-spirit, anger-point, defiant",generation-i,False,False,brown,upright,75
58,growlithe,7,190,70.0,fire,,55,70,45,70,50,60,"intimidate, flash-fire, justified",generation-i,False,False,brown,quadruped,190
59,arcanine,19,1550,194.0,fire,,90,110,80,100,80,95,"intimidate, flash-fire, justified",generation-i,False,False,brown,quadruped,75
60,poliwag,6,124,60.0,water,,40,50,40,40,40,90,"water-absorb, damp, swift-swim",generation-i,False,False,blue,legs,255
61,poliwhirl,10,200,135.0,water,,65,65,65,50,50,90,"water-absorb, damp, swift-swim",generation-i,False,False,blue,humanoid,120
62,poliwrath,13,540,230.0,water,fighting,90,95,95,70,90,70,"water-absorb, damp, swift-swim",generation-i,False,False,blue,humanoid,45
63,abra,9,195,62.0,psychic,,25,20,15,105,55,90,"synchronize, inner-focus, magic-guard",generation-i,False,False,brown,upright,200
64,kadabra,13,565,140.0,psychic,,40,35,30,120,70,105,"synchronize, inner-focus, magic-guard",generation-i,False,False,brown,upright,100
65,alakazam,15,480,225.0,psychic,,55,50,45,135,95,120,"synchronize, inner-focus, magic-guard",generation-i,False,False,brown,humanoid,50
66,machop,8,195,61.0,fighting,,70,80,50,35,35,35,"guts, no-guard, steadfast",generation-i,False,False,gray,upright,180
67,machoke,15,705,142.0,fighting,,80,100,70,50,60,45,"guts, no-guard, steadfast",generation-i,False,False,gray,humanoid,90
